Token.ID,Variety,Corpus,Speaker,Speaker.sex,Speaker.YOB,Speaker.age,Context,Inclusion,Inclusion.comments,Persistence,Final.sibilancy,Semantic.relation,Response.variable,Possessor,Possessor.head,Possessor.animacy,Possessor.definiteness,Possessor.length,Possessor.coordinated,Possessor.contains.contraction,Possessor.contains.acronym,Possessor.contains.multiword.number,Possessor.contains.potentially.relevant.like,Possessum,Possessum.head,Possessum.length,Possessum.coordinated,Possessum.contains.contraction,Possessum.contains.acronym,Possessum.contains.multiword.number,Possessum.contains.potentially.relevant.like
gen-0019,CAN,Canadian,cdavin,M,1955,49,"You-know, generally speaking the commitment OF THE TEACHERS to the community,",y,,none,1,N,of-genitive,the teachers,teachers,A,Definite,2,0,0,0,0,0,the commitment,commitment,1,0,0,0,0,0
gen-0020,CAN,Canadian,swhitby,F,1954,50,ah named after Lucy one of the kids OF MISTER-HARRIS.,y,,s-genitive,1,K,of-genitive,Mister-Harris,Mister-Harris,A,Definite-pn,2,0,0,0,0,0,the kids,kids,1,0,0,0,0,0
gen-0021,CAN,Canadian,dstobart,F,1951,53,although I mean this is the s-- the thinking OF THE BOYS.,y,,,1,N,of-genitive,the Boys,boys,A,Definite,2,0,0,0,0,0,the thinking,thinking,1,0,0,0,0,0
gen-0022,CAN,Canadian,sryall,F,1949,55,"That 's the, actually, garage OF OUR NEXT-DOOR NEIGHBOUR.",y,,,0,O,of-genitive,our next-door neighbour,neighbour,A,Definite,4,0,0,0,0,0,the garage,garage,1,0,0,0,0,0
gen-0023,CAN,Canadian,cslade,M,1943,64,and seemed to really appreciate the ah different diversities of the- of THE KIDS' backgrounds.,y,,none,1,N,s-genitive,the kid,kid,A,Definite,2,0,0,0,0,0,backgrounds,backgrounds,1,0,0,0,0,0
gen-0024,CAN,Canadian,rburton,M,1934,72,"thereãd be a golf course for EVERYBODY'S liking in this area, be at least fifty or sixty golf courses.",y,,none,0,N,s-genitive,everybody,everybody,A,Definite,1,0,0,0,0,0,liking,liking,1,0,0,0,0,0
gen-0025,CAN,Canadian,aalletson,M,1933,72,And jazz was THE DEVIL'S music and all they taught was classical music you-know?,y,,,0,N,s-genitive,the Devil,Devil,A,Definite-pn,2,0,0,0,0,0,music,music,1,0,0,0,0,0
gen-0026,CAN,Canadian,wcarlsbergM,M,1922,82,"Eddie-Shore played for the Boston-Bruins, and he was known as a tough player, and he uh, swung his stick and fractured <the skull of Ace-Bailey>, and Ace-Bailey never played again.  ",y,,none,0,B,of-genitive,Ace-Bailey,Ace-Bailey,A,Definite-pn,2,0,0,0,0,0,the skull,skull,1,0,0,0,0,0
gen-0027,CAN,Canadian,bcaldwell,M,1923,84,"the ah sails of the boats OF MR.-SCHMIDT AND MR.-CAULHAM, MR.-RICKARDS, AND-SO-ON- they were re-- they were proper sails but ah we (inc) small fry had to do with  Red-Path sugar-bags.",y,,of-genitive,0,O,of-genitive,"Mr-Schmidt and Mr-Caulham, Mr-Rickards, and-so-on",Mr Schmidt,A,Definite-pn,10,1,0,0,0,0,the boats,boats,1,0,0,0,0,0
gen-0028,CAN,Canadian,ghaslem,M,1919,85,"and she says, ""In the name of God, what have you got now?"" ",y,,none,0,N,of-genitive,God,God,A,Definite-pn,1,0,0,0,0,0,the name,name,1,0,0,0,0,0
gen-0029,CAN,Canadian,eahlin,F,1917,87,but she had the support OF MY BROTHER-,y,,none,0,N,of-genitive,my brother,brother,A,Definite,2,0,0,0,0,0,the support,support,1,0,0,0,0,0
gen-0030,CAN,Canadian,cfelipe,F,1986,18,Especially Tom 's facial-expressions 'cause they 're like,y,,none,0,N,s-genitive,Tom,Tom,A,Definite-pn,1,0,0,0,0,0,facial-expressions,expressions,2,0,0,0,0,0
gen-0031,CAN,Canadian,cfelipe,F,1986,18,"from um, the high-school to his house we cut through someone 's backyard ",y,,none,0,O,s-genitive,someone,someone,A,Indefinite,1,0,0,0,0,0,backyard,backyard,1,0,0,0,0,0
gen-0032,CAN,Canadian,cfelipe,F,1986,18,there 's a door that leads to someone 's backyard,y,,s-genitive,0,O,s-genitive,someone,someone,A,Indefinite,1,0,0,0,0,0,backyard,backyard,1,0,0,0,0,0
gen-0033,CAN,Canadian,cfelipe,F,1986,18,Sharon knows now that Abbey is Victor 's daughter,y,,none,0,K,s-genitive,Victor,Victor,A,Definite-pn,1,0,0,0,0,0,daughter,daughter,1,0,0,0,0,0
gen-0034,CAN,Canadian,cfelipe,F,1986,18,how Abbey is Victor 's daughter,y,,s-genitive,0,K,s-genitive,Victor,Victor,A,Definite-pn,1,0,0,0,0,0,daughter,daughter,1,0,0,0,0,0
gen-0035,CAN,Canadian,egriffo,F,1987,17,Yeah Angus tries to steal JAMES 'S toys.,y,,none,1,O,s-genitive,James,Jame,A,Definite-pn,1,0,0,0,0,0,toys,toys,1,0,0,0,0,0
gen-0036,CAN,Canadian,egriffo,F,1987,17,[1] To the cottage? [001] To ALLEN 'S cottage yeah.,y,,none,0,O,s-genitive,Allen,Allen,A,Definite-pn,1,0,0,0,0,0,cottage,cottage,1,0,0,0,0,0
gen-0037,CAN,Canadian,egriffo,F,1987,17,Like I can get from my house- from our house to JULIE 'S house in like ten minutes.,y,,none,0,O,s-genitive,Julie,Julie,A,Definite-pn,1,0,0,0,0,0,house,house,1,0,0,0,0,0
gen-0038,CAN,Canadian,egriffo,F,1987,17,but I met up with Alex and Allen and then two of ALEX 'S friends.,y,,s-genitive,0,N,s-genitive,Alex,Alex,A,Definite-pn,1,0,0,0,0,0,friends,friends,1,0,0,0,0,0
gen-0039,CAN,Canadian,egriffo,F,1987,17,And then the next day I went up with Sarah and then two of ANDREW 'S friends.,y,,s-genitive,0,N,s-genitive,Andrew,Andrew,A,Definite-pn,1,0,0,0,0,0,friends,friends,1,0,0,0,0,0
gen-0040,CAN,Canadian,egriffo,F,1987,17,We had to leave early 'cause I had to go up to JULIANNE 'S house to housesit.,y,,none,0,O,s-genitive,Julianne,Julianne,A,Definite-pn,1,0,0,0,0,0,house,house,1,0,0,0,0,0
gen-0041,CAN,Canadian,egriffo,F,1987,17,"cause we wanted to beat the traffic and then ALLEN 'S cousin- so we get like half- we go out for a sub, have the sub,...",y,,s-genitive,0,K,s-genitive,Allen,Allen,A,Definite-pn,1,0,0,0,0,0,cousin,cousin,1,0,0,0,0,0
gen-0042,CAN,Canadian,egriffo,F,1987,17,"Allen drove home and ALEX 'S friend Amy, is a girl drove up.",y,,none,1,N,s-genitive,Alex,Alex,A,Definite-pn,1,0,0,0,0,0,friend,friend,1,0,0,0,0,0
gen-0043,CAN,Canadian,jlevine,M,1985,17,"she's one of MY SISTER'S best friends, so I-dunno, she and I have been really close.",y,,none,0,N,s-genitive,my sister,sister,A,Definite,2,0,0,0,0,0,best friends,friends,2,0,0,0,0,0
gen-0044,CAN,Canadian,jlevine,M,1985,17,"she met a girl named Agatha who just moved here from Montreal, who was at JANICE'S house last night, actually.",y,,none,1,O,s-genitive,Janice,Janice,A,Definite-pn,1,0,0,0,0,0,house,house,1,0,0,0,0,0
gen-0045,CAN,Canadian,jlevine,M,1985,17,"I was like standing in Alex, JACKIE'S boyfriend- his house like by his front door and I saw him and like Jackie",y,,none,0,N,s-genitive,Jackie,Jackie,A,Definite-pn,1,0,0,0,0,0,boyfriend,boyfriend,1,0,0,0,0,0
gen-0046,CAN,Canadian,jlevine,M,1985,17,"I opened my eyes and I 'm-like, ¶This isn't ALEX'S house.÷",y,,s-genitive,0,O,s-genitive,Alex,Alex,A,Definite-pn,1,0,0,0,0,0,house,house,1,0,0,0,0,0
gen-0047,CAN,Canadian,jlevine,M,1985,17,or you'd be like on top of PRINCESS-ZELDA'S castle from the Zelda games.,y,,none,0,O,s-genitive,Princess-Zelda,Princess-Zelda,A,Definite-pn,2,0,0,0,0,0,castle,castle,1,0,0,0,0,0
gen-0048,CAN,Canadian,jlevine,M,1985,17,I went to one at BRINA-POUNDSTONE'S house who disappeared and went to Montreal,y,,of-genitive,0,O,s-genitive,Brina-Poundstone,Brina-Poundstone,A,Definite-pn,2,0,0,0,0,0,house,house,1,0,0,0,0,0
gen-0049,CAN,Canadian,jlevine,M,1985,17,We-we did it at my friend LISA'S house.,y,,none,0,O,s-genitive,Lisa,Lisa,A,Definite-pn,1,0,0,0,0,0,house,house,1,0,0,0,0,0
gen-0050,CAN,Canadian,jlevine,M,1985,17,I think I told them I stayed on LAUREN'S couch that night.,y,,s-genitive,0,O,s-genitive,Lauren,Lauren,A,Definite-pn,1,0,0,0,0,0,couch,couch,1,0,0,0,0,0
gen-0051,CAN,Canadian,jlevine,M,1985,17,"I was supposed to sleep at JOSH'S house that night, or Josh's dorm room. He's a friend of mine in, was a friend of mine before Frosh-Week,",y,,s-genitive,1,O,s-genitive,Josh,Josh,A,Definite-pn,1,0,0,0,0,0,house,house,1,0,0,0,0,0
gen-0052,CAN,Canadian,jlevine,M,1985,17,"I was supposed to sleep at Josh's house that night, or JOSH'S dorm room. He's a friend of mine in, was a friend of mine before Frosh-Week,",y,,s-genitive,1,N,s-genitive,Josh,Josh,A,Definite-pn,1,0,0,0,0,0,dorm room,room,2,0,0,0,0,0
gen-0053,CAN,Canadian,jlevine,M,1985,17,"And they-they came from THE ENGINEER'S party, one of them was, I-dunno, the-- they were scaring me",y,,none,0,N,s-genitive,the engineer,engineer,A,Definite,2,0,0,0,0,0,party,party,1,0,0,0,0,0
gen-0054,CAN,Canadian,jlevine,M,1985,17,"At twelve-thirty at night, YITZHACK'S house phone line rings, wakes up his parents.",y,,none,0,O,s-genitive,Yitzhack,Yitzhack,A,Definite-pn,1,0,0,0,0,0,house,house,1,0,0,0,0,0
gen-0055,CAN,Canadian,jlevine,M,1985,17,"Um, my mother, they met, my father knew MY MOTHER'S older brother.",y,,none,0,K,s-genitive,my mother,mother,A,Definite,2,0,0,0,0,0,older brother,brother,2,0,0,0,0,0
gen-0056,CAN,Canadian,jlevine,M,1985,17,and they switched me into MRS. GRENOWSKY'S class.,y,,none,0,N,s-genitive,Mrs. Grenowsky,Mrs. Grenowsky,A,Definite-pn,2,0,0,0,0,0,class,class,1,0,0,0,0,0
gen-0057,CAN,Canadian,jlevine,M,1985,17,"a bunch of us went up to A FRIEND'S cottage, so they got into- they were fighting.",y,,none,0,O,s-genitive,a friend,friend,A,Indefinite,2,0,0,0,0,0,cottage,cottage,1,0,0,0,0,0
gen-0058,CAN,Canadian,vhawkins,F,1991,17,"Um, the first house I lived in was at MY GRANDMA'S house,",y,,none,0,O,s-genitive,my grandma,grandma,A,Definite,2,0,0,0,0,0,house,house,1,0,0,0,0,0
gen-0059,CAN,Canadian,vhawkins,F,1991,17,"Um, well, it depends on- well we have like discrimination against PEOPLE'S sexuality, which is huge right now,",y,,none,0,N,s-genitive,people,people,A,Indefinite,1,0,0,0,0,0,sexuality,sexuality,1,0,0,0,0,0
gen-0060,CAN,Canadian,vhawkins,F,1991,17,"one of my friends who is bisexual he has a locker right in front of the office, in the PRINCIPAL'S offices, and the vice-principal's offices.",y,,none,0,N,s-genitive,the principal,principal,A,Definite,2,0,0,0,0,0,offices,offices,1,0,0,0,0,0
gen-0061,CAN,Canadian,vhawkins,F,1991,17,"one of my friends who is bisexual he has a locker right in front of the office, in the principal's offices, and the VICE-PRINCIPAL'S offices.",y,,s-genitive,0,N,s-genitive,the vice-principal,vice-principal,A,Definite,3,0,0,0,0,0,offices,offices,1,0,0,0,0,0
gen-0062,CAN,Canadian,cfelipe,F,1986,18,"I know it- I know the names OF HIS GIRLFRIENDS, though. ",y,,s-genitive,1,N,of-genitive,his girlfriend,girlfriend,A,Definite,2,0,0,0,0,0,the names,names,1,0,0,0,0,0
gen-0063,CAN,Canadian,cfelipe,F,1986,18,"Her name 's Candice.  I know it- I know the names OF HIS GIRLFRIENDS, though.  He 's told me.",y,,s-genitive,1,N,of-genitive,his girlfriend,girlfriend,A,Definite,2,0,0,0,0,0,the names,names,1,0,0,0,0,0
gen-0064,CAN,Canadian,cfelipe,F,1986,18,"I mean HIS GIRLFRIEND'S parents,",y,,none,0,K,s-genitive,his girlfriend,girlfriend,A,Definite,2,0,0,0,0,0,parents,parents,1,0,0,0,0,0
gen-0065,CAN,Canadian,cfelipe,F,1986,18,"And then he said that at NATASHA'S party, ",y,,none,0,N,s-genitive,Natasha,Natasha,A,Definite-pn,1,0,0,0,0,0,party,party,1,0,0,0,0,0
gen-0066,CAN,Canadian,cfelipe,F,1986,18,"And Duke and HIS OLDER BROTHER'S Mom, she left them after Duke was born.",y,,none,0,K,s-genitive,his older brother,brother,A,Definite,3,0,0,0,0,0,mom,mom,1,0,0,0,0,0
gen-0067,CAN,Canadian,cfelipe,F,1986,18,"and JOYCE'S party was still like- that was one of the best days of the summer,",y,,none,1,N,s-genitive,Joyce,Joyce,A,Definite-pn,1,0,0,0,0,0,party,party,1,0,0,0,0,0
gen-0068,CAN,Canadian,cfelipe,F,1986,18,and it was so much better than CARMEN'S surprise party ,y,,of-genitive,0,N,s-genitive,Carmen,Carmen,A,Definite-pn,1,0,0,0,0,0,surprise party,party,2,0,0,0,0,0
gen-0069,CAN,Canadian,cfelipe,F,1986,18,"It 's like, all HIS PARENTS' money.",y,,none,1,O,s-genitive,his parents,parents,A,Definite,2,0,0,0,0,0,money,money,1,0,0,0,0,0
gen-0070,CAN,Canadian,cfelipe,F,1986,18,"and I was the one who got PEOPLES' phone-numbers when they were like, ""Oh call me if you do something for dinner,""",y,,none,1,N,s-genitive,people,people,A,Indefinite,1,0,0,0,0,0,phone-numbers,numbers,2,0,0,0,0,0
gen-0071,CAN,Canadian,cfelipe,F,1986,18,"I mean HIS GIRLFRIEND'S parents, they didn 't like him or something.",y,,none,0,K,s-genitive,his girlfriend,girlfriend,A,Definite,2,0,0,0,0,0,parents,parents,1,0,0,0,0,0
gen-0072,CAN,Canadian,cfelipe,F,1986,18,"And then he said that at NATASHA'S party, I was acting awkward towards him,",y,,,0,N,s-genitive,Natasha,Natasha,A,Definite-pn,1,0,0,0,0,0,party,party,1,0,0,0,0,0
gen-0073,CAN,Canadian,cfelipe,F,1986,18,"And DUKE AND HIS OLDER BROTHER'S MOM, she left them after Duke was born.",y,,,0,K,s-genitive,Duke and his other brother,Duke,A,Definite-pn,5,1,0,0,0,0,mom,mom,1,0,0,0,0,0
gen-0074,CAN,Canadian,cfelipe,F,1986,18,"and JOYCE'S party was still like- that was one of the best days of the summer,",y,,,1,N,s-genitive,Joyce,Joyce,A,Definite-pn,1,0,0,0,0,0,party,party,1,0,0,0,0,0
gen-0075,CAN,Canadian,cfelipe,F,1986,18,and it was so much better than CARMEN'S surprise party that she planned because the fact that it was planned-,y,,,0,N,s-genitive,Carmen,Carmen,A,Definite-pn,1,0,0,0,0,0,surprise party,party,2,0,0,0,0,0
gen-0076,CAN,Canadian,kvansplit,M,1985,18,"...how the eye OF THE SNAKE is comprised and, why it can µt, see red.",y,,of-genitive,0,B,of-genitive,the snake,snake,A,Definite,2,0,0,0,0,0,the eye,eye,1,0,0,0,0,0
gen-0077,CAN,Canadian,kvansplit,M,1985,18,"two weeks later it shows up in the kitchen, at MY MOM'S feet, whichÓI-dunno,",y,,none,0,B,s-genitive,my mom,mom,A,Definite,2,0,0,0,0,0,feet,feet,1,0,0,0,0,0
gen-0078,CAN,Canadian,lneville,F,1986,18,or um the father OF THE CHILD can 't support the child as well,y,,none,0,K,of-genitive,the child,child,A,Definite,2,0,0,0,0,0,the father,father,1,0,0,0,0,0
gen-0079,CAN,Canadian,lneville,F,1986,18,"and just like went to a FRIEND'S house, like watched a movie or something",y,,none,0,O,s-genitive,a friend,friend,A,Indefinite,2,0,0,0,0,0,house,house,1,0,0,0,0,0
gen-0080,CAN,Canadian,lneville,F,1986,18,and it was our first time and MY FRIEND'S Mom was driving us there. ,y,,none,0,K,s-genitive,my friend,friend,A,Definite,2,0,0,0,0,0,mom,mom,1,0,0,0,0,0
gen-0081,CAN,Canadian,mllewellyn,M,1984,18,"well actually I was in MY FRIEND'S car and we got pulled over,",y,,none,0,O,s-genitive,my friend,friend,A,Definite,2,0,0,0,0,0,car,car,1,0,0,0,0,0
gen-0082,CAN,Canadian,mllewellyn,M,1984,18,"We were in the ah- CAT THE DON'S room last night for ah, cookies.",y,,none,0,N,s-genitive,Cat the don,Cat,A,Definite-pn,3,0,0,0,0,0,room,room,1,0,0,0,0,0
gen-0083,CAN,Canadian,mllewellyn,M,1984,18,"on rebounds there's a lot of like pushing off of PEOPLE'S backs, which is illegal also if they see it,",y,,none,0,B,s-genitive,people,people,A,Indefinite,1,0,0,0,0,0,backs,backs,1,0,0,0,0,0
gen-0084,CAN,Canadian,nlui,M,1987,18,well there was one for example my um- MY TEACHER'S wedding. ,y,,none,0,N,s-genitive,my teacher,teacher,A,Definite,2,0,0,0,0,0,wedding,wedding,1,0,0,0,0,0
gen-0085,CAN,Canadian,nlui,M,1987,18,And then MY FRIEND'S dad was a little bit too um- ,y,,s-genitive,0,K,s-genitive,my friend,friend,A,Definite,2,0,0,0,0,0,dad,dad,1,0,0,0,0,0
gen-0086,CAN,Canadian,nlui,M,1987,18,Gilbert 's SAMUEL'S cousin.  Cousin.,y,,none,0,K,s-genitive,Samuel,Samuel,A,Definite-pn,1,0,0,0,0,0,cousin,cousin,1,0,0,0,0,0
gen-0087,CAN,Canadian,nlui,M,1987,18,They came and stopped at MY AUNT'S place.,y,,none,0,O,s-genitive,my aunt,aunt,A,Definite,2,0,0,0,0,0,place,place,1,0,0,0,0,0
gen-0088,CAN,Canadian,nlui,M,1987,18,VERNON'S year was the year I was in grade-nine.,y,,none,0,N,s-genitive,Vernon,Vernon,A,Definite-pn,1,0,0,0,0,0,year,year,1,0,0,0,0,0
gen-0089,CAN,Canadian,nswanson,F,1985,18,it 's not the same as if I go to one MY POLISH FRIENDS' houses you-know-what-I-mean?,y,,none,1,O,s-genitive,my Polish friends,friends,A,Definite,3,0,0,0,0,0,houses,houses,1,0,0,0,0,0
gen-0090,CAN,Canadian,nswanson,F,1985,18,actually my PARENT'S grandparents were friends and that 's how they met.,y,,none,1,K,s-genitive,parents,parents,A,Indefinite,1,0,0,0,0,0,grandparents,grandparents,1,0,0,0,0,0
gen-0091,CAN,Canadian,nswanson,F,1985,18,I know that 's what MY DAD'S parents wanted they- they wanted better opportunities,y,,none,0,K,s-genitive,my dad,dad,A,Definite,2,0,0,0,0,0,parents,parents,1,0,0,0,0,0
gen-0092,CAN,Canadian,nswanson,F,1985,18,I 'm not really sure what- with MY MOM'S parents I- I never knew much about about their- her parents.,y,,s-genitive,0,K,s-genitive,my mom,mom,A,Definite,2,0,0,0,0,0,parents,parents,1,0,0,0,0,0
gen-0093,CAN,Canadian,nswanson,F,1985,18,"well my mom's mom's father, like he left MY MOM'S mom for another woman,  stuff-like-that.",y,,s-genitive,0,K,s-genitive,my mom,mom,A,Definite,2,0,0,0,0,0,mom,mom,1,0,0,0,0,0
gen-0094,CAN,Canadian,nswanson,F,1985,18,"you always have somebody coming over you-know so expecting somebody, somebody within YOUR, um, FRIEND'S familiy.",y,,none,0,K,s-genitive,your friend,friend,A,Definite,2,0,0,0,0,0,family,family,1,0,0,0,0,0
gen-0095,CAN,Canadian,nswanson,F,1985,18,when MY MOM'S  mom was still alive they used to make fur coats like I even have a picture of Cher with a-,y,,none,0,K,s-genitive,my mom,mom,A,Definite,2,0,0,0,0,0,mom,mom,1,0,0,0,0,0
gen-0096,CAN,Canadian,nswanson,F,1985,18,"like for example MY MOM'S aunt, um, basically, um- completely went away from the family",y,,none,0,K,s-genitive,my mom,mom,A,Definite,2,0,0,0,0,0,aunt,aunt,1,0,0,0,0,0
gen-0097,CAN,Canadian,nswanson,F,1985,18,"MY MOM'S cousin, which is my aunt- I 'll just call her my aunt and then my great-aunt from now on.",y,,s-genitive,0,K,s-genitive,my mom,mom,A,Definite,2,0,0,0,0,0,cousin,cousin,1,0,0,0,0,0
gen-0098,CAN,Canadian,nswanson,F,1985,18,"she had brought back MY MOM'S mom, so her sister's ashes, who she was supposed to take to Poland,",y,,none,0,K,s-genitive,my mom,mom,A,Definite,2,0,0,0,0,0,mom,mom,1,0,0,0,0,0
gen-0099,CAN,Canadian,nswanson,F,1985,18,"she had brought back my mom's mom, so HER SISTER'S ashes, who she was supposed to take to Poland,",y,,s-genitive,0,B,s-genitive,her sister,sister,A,Definite,2,0,0,0,0,0,ashes,ashes,1,0,0,0,0,0
gen-0100,CAN,Canadian,tchan,F,1985,18,"trying to experience life through the lives OF OTHERS,",y,,none,1,N,of-genitive,others,others,A,Indefinite,1,0,0,0,0,0,the lives,lives,1,0,0,0,0,0
gen-0101,CAN,Canadian,tchan,F,1985,18,"Yeah, ""Calculus party at TIFFANY'S place.""",y,,none,0,O,s-genitive,Tiffany,Tiffany,A,Definite-pn,1,0,0,0,0,0,place,place,1,0,0,0,0,0
gen-0102,CAN,Canadian,athomcambria,F,1984,19,I 've noticed that I don 't deal with PEOPLES' death very well.,y,,none,0,N,s-genitive,people,people,A,Indefinite,1,0,0,0,0,0,death,death,1,0,0,0,0,0
gen-0103,CAN,Canadian,athomcambria,F,1984,19,And he lives with his brother in SOME OLD LADY'S house that they 're renting from.,y,,none,0,O,s-genitive,some old lady,lady,A,Indefinite,3,0,0,0,0,0,house,house,1,0,0,0,0,0
gen-0104,CAN,Canadian,athomcambria,F,1984,19,It 's MY MOM'S christmas-tree store. That's horrible.,y,,none,0,N,s-genitive,my mom,mom,A,Definite,2,0,0,0,0,0,christmas-tree store,store,3,0,0,0,0,0
gen-0105,CAN,Canadian,athomcambria,F,1984,19,I took those out of SOMONE'S garbage.,y,,none,0,N,s-genitive,someone,someone,A,Indefinite,1,0,0,0,0,0,garbage,garbage,1,0,0,0,0,0
gen-0106,CAN,Canadian,athomcambria,F,1984,19,No that 's no that 's not BRONWYN'S mom.,y,,,0,K,s-genitive,Bronwyn,Bronwyn,A,Definite-pn,1,0,0,0,0,0,mom,mom,1,0,0,0,0,0
gen-0107,CAN,Canadian,athomcambria,F,1984,19,Bronwyn's dad is the guy- BRONWYN'S dad is the guy who owns the thing,y,,,0,K,s-genitive,Bronwyn,Bronwyn,A,Definite-pn,1,0,0,0,0,0,dad,dad,1,0,0,0,0,0
gen-0108,CAN,Canadian,athomcambria,F,1984,19,"Like, if I brushed past MY MOM'S shoulder in the hallway, it would be like the weirdest thing ever. ",y,,none,0,B,s-genitive,my mom,mom,A,Definite,2,0,0,0,0,0,shoulder,shoulder,1,0,0,0,0,0
gen-0109,CAN,Canadian,athomcambria,F,1984,19,"I haven 't even like put my hand on my- one of MY PARENT'S shoulders for like, forever.",y,,s-genitive,1,B,s-genitive,my parents,parents,A,Definite,2,0,0,0,0,0,shoulders,shoulders,1,0,0,0,0,0
gen-0110,CAN,Canadian,athomcambria,F,1984,19,"his dad was like going back to Italy or something-like-that for a trip and shook MY DAD'S hand, like, to say good-bye,",y,,none,0,B,s-genitive,my dad,dad,A,Definite,2,0,0,0,0,0,hand,hand,1,0,0,0,0,0
gen-0111,CAN,Canadian,athomcambria,F,1984,19,Yeah and we were on our way to OUR OTHER FRIEND'S house.,y,,none,0,O,s-genitive,our other friend,friend,A,Definite,3,0,0,0,0,0,house,house,1,0,0,0,0,0
